里程碑,环节,主攻,辅助,质检,记录,状态,验收产出,完成日期
M1,环节1 建模：序列→data/in文件,A,B,C,D,进行中,data/in文件 + 参数说明一页纸,2026-08-16
M1,环节2 平衡：单链→多链NVT,A,B,C,D,未开始,平衡轨迹 + 收敛证据,2026-08-20
M1,环节3 RNEMD 施加热流,A,B,C,D,未开始,线性温度梯度 + 热流J,2026-08-23
M1,环节4 算κ,A,B,C,D,未开始,κ数值（real单位）,2026-08-27
M1,环节5 单位换算+文献校准,D,A,B,C,未开始,κ(W/m·K) + 文献对比图,2026-08-29
M1,环节6 构象分析,C,A,D,B,未开始,Rg/末端距/P2 数值,2026-08-29
M1,环节7 重复3次+汇总验收,B,A,C,D,未开始,κ±误差 + M1验收表,2026-08-30
M2,环节1 序列生成器+in模板,B,A,C,D,未开始,一键生成任意序列输入文件,2026-09-06
M2,环节2 批量跑3类代表序列,A,B,C,D,未开始,3类序列首批κ数据,2026-09-08
M2,环节3 批处理构象分析,C,B,D,A,未开始,构象汇总CSV,2026-09-09
M2,环节4 特征编码器,D,B,C,A,未开始,特征矩阵X,2026-09-10
M2,环节5 CSV定稿+误差分析,B/C,A,D,全员,未开始,定稿CSV + 误差分析 + 初步图表,2026-09-12
M2,环节6 GPR首次训练,D,C,B,A,未开始,GPR评估图（LOO预测vs真实）,2026-09-13
M3,环节1 EI采集函数,D,C,B,A,未开始,EI推荐器 + 原理讲解图,2026-09-20
M3,环节2 任务队列v1,B,A,C,D,未开始,推荐→模拟→自动追加队列,2026-09-20
M3,环节3 热流分解初版,C,A,D,B,未开始,bond vs pair 贡献占比,2026-09-21
M3,环节4 闭环串联,D,B/A/C,全员,全员,未开始,闭环v1 + 流程图,2026-09-25
M3,环节5 迭代10轮+收敛判据,D,B,C,A,未开始,10轮迭代 + 收敛曲线,2026-09-27
M3,环节6 国庆挂机至20次,B,A,C,D,未开始,20次模拟 + 收敛判定 + 迭代曲线,2026-10-07
